sound	question_type	item	voice_quality	intonation_condition	duration
W_Schablonen_sfo_asp_m_long.wav	wh	Schablonen	breathy	m	long
W_Schablonen_sfo_asp_m_short.wav	wh	Schablonen	breathy	m	short
W_Schablonen_sfo_modal_e_long.wav	wh	Schablonen	modal	e	long
W_Schablonen_sfo_modal_e_short.wav	wh	Schablonen	modal	e	short
W_Schablonen_sfo_modal_m_long.wav	wh	Schablonen	modal	m	long
W_Schablonen_sfo_modal_m_short.wav	wh	Schablonen	modal	m	short
W_Sombreros_sfo_asp_e_long.wav	wh	Sombreros	breathy	e	long
W_Sombreros_sfo_asp_e_short.wav	wh	Sombreros	breathy	e	short
W_Sombreros_sfo_asp_m_long.wav	wh	Sombreros	breathy	m	long
W_Sombreros_sfo_asp_m_short.wav	wh	Sombreros	breathy	m	short
W_Sombreros_sfo_modal_e_long.wav	wh	Sombreros	modal	e	long
W_Sombreros_sfo_modal_e_short.wav	wh	Sombreros	modal	e	short
W_Sombreros_sfo_modal_m_long.wav	wh	Sombreros	modal	m	long
W_Sombreros_sfo_modal_m_short.wav	wh	Sombreros	modal	m	short
W_Sudoku_sfo_asp_e_long.wav	wh	Sudoku	breathy	e	long
W_Sudoku_sfo_asp_e_short.wav	wh	Sudoku	breathy	e	short
W_Sudoku_sfo_asp_m_long.wav	wh	Sudoku	breathy	m	long
W_Sudoku_sfo_asp_m_short.wav	wh	Sudoku	breathy	m	short
W_Sudoku_sfo_modal_e_long.wav	wh	Sudoku	modal	e	long
W_Sudoku_sfo_modal_e_short.wav	wh	Sudoku	modal	e	short
W_Sudoku_sfo_modal_m_long.wav	wh	Sudoku	modal	m	long
W_Sudoku_sfo_modal_m_short.wav	wh	Sudoku	modal	m	short
W_Theater_sfo_asp_e_long.wav	wh	Theater	breathy	e	long
W_Theater_sfo_asp_e_short.wav	wh	Theater	breathy	e	short
W_Theater_sfo_asp_m_long.wav	wh	Theater	breathy	m	long
W_Theater_sfo_asp_m_short.wav	wh	Theater	breathy	m	short
W_Theater_sfo_modal_e_long.wav	wh	Theater	modal	e	long
W_Theater_sfo_modal_e_short.wav	wh	Theater	modal	e	short
W_Theater_sfo_modal_m_long.wav	wh	Theater	modal	m	long
W_Theater_sfo_modal_m_short.wav	wh	Theater	modal	m	short
W_Vanille_sfo_asp_e_long.wav	wh	Vanille	breathy	e	long
W_Vanille_sfo_asp_e_short.wav	wh	Vanille	breathy	e	short
W_Vanille_sfo_asp_m_long.wav	wh	Vanille	breathy	m	long
W_Vanille_sfo_asp_m_short.wav	wh	Vanille	breathy	m	short
W_Vanille_sfo_modal_e_long.wav	wh	Vanille	modal	e	long
W_Vanille_sfo_modal_e_short.wav	wh	Vanille	modal	e	short
W_Vanille_sfo_modal_m_long.wav	wh	Vanille	modal	m	long
W_Vanille_sfo_modal_m_short.wav	wh	Vanille	modal	m	short
W_Zigarre_sfo_asp_e_long.wav	wh	Zigarre	breathy	e	long
W_Zigarre_sfo_asp_e_short.wav	wh	Zigarre	breathy	e	short
W_Zigarre_sfo_asp_m_long.wav	wh	Zigarre	breathy	m	long
W_Zigarre_sfo_asp_m_short.wav	wh	Zigarre	breathy	m	short
W_Zigarre_sfo_modal_e_long.wav	wh	Zigarre	modal	e	long
W_Zigarre_sfo_modal_e_short.wav	wh	Zigarre	modal	e	short
W_Zigarre_sfo_modal_m_long.wav	wh	Zigarre	modal	m	long
W_Zigarre_sfo_modal_m_short.wav	wh	Zigarre	modal	m	short
